# Australian locality gazetteer — suburb/locality<TAB>LGA<TAB>state<TAB>lat<TAB>lng
# Source: GeoNames (geonames.org, CC-BY 4.0) — AU.txt feature class P joined with admin2Codes.txt
# LGA state disambiguators like "Central Coast (NSW)" are stripped (state is its own column).
# State from admin1 code: 01=ACT 02=NSW 03=NT 04=QLD 05=SA 06=TAS 07=VIC 08=WA.
# Refresh: download https://download.geonames.org/export/dump/AU.zip and admin2Codes.txt, re-run the awk join (see Docs).
# Generated: 2026-07-07
Anketell	Kwinana	WA	-32.21856	115.86559
Anmatjere	Central Desert	NT	-22.25034	133.41522
Anna Bay	Port Stephens	NSW	-32.78135	152.08586
Annadale	Mid Murray	SA	-34.39137	139.34886
Annalara	Central Darling	NSW	-31.24833	144.01829
Annalee	Hilltops	NSW	-34.33476	148.88969
Annandale	Banana	QLD	-24.19321	150.46051
Annandale	Inner West	NSW	-33.88333	151.16667
Annandale	Lismore	NSW	-28.78183	153.34703
Annandale	Townsville	QLD	-19.31503	146.79069
Annangrove	The Hills	NSW	-33.65758	150.94755
Annerley	Brisbane	QLD	-27.51228	153.03248
Anniebrook	Busselton	WA	-33.65914	115.17255
Annuello	Swan Hill	VIC	-34.85	142.83333
Ansons Bay	Break O'Day	TAS	-41.04117	148.26256
Anstead	Brisbane	QLD	-27.53781	152.86187
Antechamber Bay	Kangaroo Island	SA	-35.79603	138.06001
Anthony	Scenic Rim	QLD	-27.87793	152.6828
Antigua	Fraser Coast	QLD	-25.63811	152.59889
Antil Plains	Townsville	QLD	-19.45	146.83333
Antill Ponds	Southern Midlands	TAS	-42.20891	147.40182
Antrim	Flinders	QLD	-21.64075	144.2789
Antwerp	Hindmarsh	VIC	-36.26748	141.97093
Anula	Darwin	NT	-12.39125	130.89047
Anyarro	North Burnett	QLD	-25.07687	151.12412
Apoinga	Goyder	SA	-33.92793	138.939
Apollo Bay	Colac Otway	VIC	-38.7594	143.67219
Appila	Mount Remarkable	SA	-33.05	138.41667
Appin	Gannawarra	VIC	-35.87507	143.87392
Appin	Wollondilly	NSW	-34.20347	150.78644
Appin South	Loddon	VIC	-35.93069	143.86424
Apple Tree Creek	Bundaberg	QLD	-25.21667	152.23333
Apple Tree Flat	Mid-Western	NSW	-32.6818	149.7012
Apple Tree Yard	Carpentaria	QLD	-15.54075	142.25432
